name,geoid,state_name,county_name,city_name,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more
98052,86000US98052,Washington,King,Bellevue; Cottage Lake; Kirkland; Redmond; Sammamish; Union Hill-Novelty Hill; Woodinville,"135,287","5,211","161,369","5,022","64,993","2,069",0,0,"76,313","23,861","150,566","5,921","156,605","10,563","54,184","6,384","28,022","2,105","2,574","2,453","2,587","5,987","4,768","7,548"
98053,86000US98053,Washington,King,Ames Lake; Redmond; Union Hill-Novelty Hill,"145,453","6,474","194,206","11,942","72,453","4,594",0,0,-1,-1,"204,276","23,021","169,886","16,452","75,942","7,361","8,163",531,659,786,751,"1,548",974,"2,914"
98055,86000US98055,Washington,King,Kent; Renton,"76,765","5,454","92,801","4,778","37,588","1,952",0,0,"57,105","14,657","84,277","7,161","90,913","16,797","55,851","8,905","9,618","1,006","1,396","2,287","1,544","1,730","1,049",606
98056,86000US98056,Washington,King,Newcastle; Renton,"85,451","6,972","117,962","6,855","47,145","3,052",0,0,"72,188","20,701","101,364","13,281","97,150","10,966","50,221","8,203","14,049","1,555","2,284","2,201","1,887","2,729","1,474","1,919"
98057,86000US98057,Washington,King,Bryn Mawr-Skyway; Renton; Tukwila,"57,172","5,005","76,540","7,476","37,017","3,881",0,0,"53,021","15,453","64,521","12,824","54,286","9,467","37,118","5,309","6,023","1,253","1,395","1,178",651,906,326,314
98058,86000US98058,Washington,King,East Renton Highlands; Fairwood; Kent; Maple Heights-Lake Desire; Renton; Shadow Lake,"92,225","2,972","107,395","4,478","39,575","1,824",0,0,"54,295","22,159","94,695","5,183","108,644","6,585","67,500","4,520","15,830","1,442","2,190","2,546","2,466","3,886","1,683","1,617"
98059,86000US98059,Washington,King,Bellevue; East Renton Highlands; Newcastle; Renton,"105,872","4,267","137,426","6,802","49,190","2,735",0,0,"58,250","32,112","130,685","13,964","110,625","10,355","58,423","6,771","13,795","1,036","1,828","1,939","1,658","2,614","1,949","2,771"
98065,86000US98065,Washington,King,Snoqualmie,"144,320","8,120","167,082","10,579","54,728","3,686",0,0,"60,694","11,948","156,905","20,193","143,833","15,869","100,662","28,223","5,189",99,230,457,624,"1,297","1,054","1,428"
98068,86000US98068,Washington,King; Kittitas,Roslyn; Snoqualmie Pass; Tanner,"97,625","49,145","104,741","19,537","50,683","14,450",0,0,-1,-1,-1,-1,"98,844","53,254","65,179","46,336",208,6,32,53,51,0,49,17
98070,86000US98070,Washington,King,Vashon,"78,966","20,723","115,678","15,216","53,131","6,997",0,0,-1,-1,"84,297","40,926","114,500","15,673","51,885","12,491","4,664",651,932,683,395,860,513,630
