zipcode,city_name,monthly_mean_income
98388,Ketron Island; Lakewood; Steilacoom; University Place,8584
98292,Kayak Point; Lake Goodwin; Lake Ketchum; Marysville; Northwest Stanwood; Silvana; Stanwood; Sunday Lake; Warm Beach,8577
98250,Friday Harbor,8557
98329,Burley; Key Center; Stansberry Lake; Vaughn; Wauna,8523
98327,DuPont; North Fort Lewis,8518
98001,Algona; Auburn; Federal Way; Lakeland North; Lakeland South; Milton; Pacific,8505
98383,Chico; Silverdale,8489
98051,Hobart; Kent; Ravensdale,8481
98374,Alderton; Graham; McMillin; Puyallup; South Hill,8439
98249,Freeland,8435
98346,Hansville; Indianola; Kingston; Port Gamble Tribal Community,8425
98223,Arlington; Arlington Heights; Bryant; Canyon Creek; Lake Cassidy; Lake Goodwin; Marysville; North Marysville; Oso; Sisco Heights; Swede Heaven,8415
98146,Burien; Seattle; White Center,8410
98604,Battle Ground; Cherry Grove; Dollars Corner; Lewisville; Meadow Glade; Venersborg,8401
98406,Tacoma,8400
98686,Barberton; Mount Vista; Salmon Creek,8371
98232,Alger; Edison,8366
98516,Lacey; Olympia; Tanglewilde,8355
98560,,8301
98221,Anacortes,8260
98328,Alder; Clear Lake; Eatonville; La Grande,8220
98022,Black Diamond; Buckley; Enumclaw; Greenwater,8188
98178,Bryn Mawr-Skyway; Renton; Seattle; Tukwila,8181
99223,Spokane,8160
98031,Kent,8122
98946,Thorp,8109
98367,Bethel; Bremerton; Burley; Gorst; Port Orchard; Southworth,8103
98621,Grays River; Rosburg,8095
98303,Anderson Island,8078
98236,Clinton,8056
98625,Kalama,8048
98380,Seabeck,8029
98360,Clear Lake; Crocker; Graham; Kapowsin; McMillin; Orting; Prairie Ridge; South Hill,8003
98563,Aberdeen; Brady; Cosmopolis; Montesano,7989
98338,Clear Lake; Elk Plain; Graham; Kapowsin; South Creek; South Hill,7986
98274,Big Lake; Lake Cavanaugh; Lake McMurray; Mount Vernon,7979
98821,,7976
98125,Seattle,7963
98932,Granger,7901
98396,Carbonado; Wilkeson,7893
98372,Alderton; Edgewood; North Puyallup; Puyallup; Sumner,7847
98023,Des Moines; Federal Way,7844
98371,Edgewood; Milton; Puyallup; Summit; Waller,7828
98651,Hood River,7816
99016,Liberty Lake; Spokane Valley,7805
98342,Indianola,7795
98229,Alger; Bellingham; Geneva; Sudden Valley,7790
98271,Lake Goodwin; Marysville; North Marysville; Sisco Heights,7773
99154,,7767
98925,Easton; Roslyn,7739
98375,Frederickson; South Hill; Summit View,7737
98055,Kent; Renton,7733
97031,Hood River; Odell,7718
98502,Olympia; Tumwater,7714
99224,Airway Heights; Spokane,7700
98467,Fircrest; Steilacoom; Tacoma; University Place,7689
98512,Olympia; Tumwater,7682
98087,Lake Stickney; Larch Way; Lynnwood; Martha Lake; North Lynnwood; Picnic Point,7658
98501,Lacey; Olympia; Tumwater,7650
98270,Lake Cassidy; Marysville,7650
