name,geoid,state_name,county_name,city_name,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more
98042,86000US98042,Washington,King,Auburn; Covington; Kent; Lake Morton-Berrydale; Maple Valley; Shadow Lake,104306,4292,127621,5898,44519,2405,0.153,0.018,73468,34036,101708,6314,126988,9889,70510,5558,16686,962,2167,2233,2520,4148,2102,2554
98043,86000US98043,Washington,King; Snohomish,Edmonds; Lynnwood; Mountlake Terrace; Shoreline,72955,4438,87769,4706,36175,1899,0.053,0.016,43400,15897,77757,9513,82986,7691,53497,5198,8557,1054,1370,1969,1533,1486,693,452
98045,86000US98045,Washington,King,North Bend; Riverbend; Snoqualmie; Snoqualmie Pass; Tanner; Wilderness Rim,112568,8457,141702,10561,53181,4696,0.184,0.038,50996,841,138750,27013,119977,17550,68214,14863,5666,584,501,629,680,1174,1056,1042
98047,86000US98047,Washington,King; Pierce,Algona; Auburn; Pacific,59464,6824,70743,5650,23626,2115,0.025,0.022,64063,31768,59813,7496,71230,8413,38519,11876,2316,106,803,633,256,401,60,57
98050,86000US98050,Washington,King,,139161,39372,212132,138846,77393,40400,0.135,0.284,-1,-1,-1,-1,139557,70964,-1,-1,155,0,0,0,0,104,30,21
98051,86000US98051,Washington,King,Hobart; Kent; Ravensdale,87500,13481,101777,10961,37643,3412,0.092,0.041,-1,-1,91553,12590,94038,37481,57250,17408,1622,280,174,288,226,355,149,150
98052,86000US98052,Washington,King,Bellevue; Cottage Lake; Kirkland; Redmond; Sammamish; Union Hill-Novelty Hill; Woodinville,135287,5211,161369,5022,64993,2069,0.269,0.015,76313,23861,150566,5921,156605,10563,54184,6384,28022,2105,2574,2453,2587,5987,4768,7548
98053,86000US98053,Washington,King,Ames Lake; Redmond; Union Hill-Novelty Hill,145453,6474,194206,11942,72453,4594,0.357,0.027,-1,-1,204276,23021,169886,16452,75942,7361,8163,531,659,786,751,1548,974,2914
98055,86000US98055,Washington,King,Kent; Renton,76765,5454,92801,4778,37588,1952,0.063,0.018,57105,14657,84277,7161,90913,16797,55851,8905,9618,1006,1396,2287,1544,1730,1049,606
98056,86000US98056,Washington,King,Newcastle; Renton,85451,6972,117962,6855,47145,3052,0.137,0.019,72188,20701,101364,13281,97150,10966,50221,8203,14049,1555,2284,2201,1887,2729,1474,1919
98057,86000US98057,Washington,King,Bryn Mawr-Skyway; Renton; Tukwila,57172,5005,76540,7476,37017,3881,0.052,0.024,53021,15453,64521,12824,54286,9467,37118,5309,6023,1253,1395,1178,651,906,326,314
98058,86000US98058,Washington,King,East Renton Highlands; Fairwood; Kent; Maple Heights-Lake Desire; Renton; Shadow Lake,92225,2972,107395,4478,39575,1824,0.102,0.017,54295,22159,94695,5183,108644,6585,67500,4520,15830,1442,2190,2546,2466,3886,1683,1617
98059,86000US98059,Washington,King,Bellevue; East Renton Highlands; Newcastle; Renton,105872,4267,137426,6802,49190,2735,0.201,0.02,58250,32112,130685,13964,110625,10355,58423,6771,13795,1036,1828,1939,1658,2614,1949,2771
98065,86000US98065,Washington,King,Snoqualmie,144320,8120,167082,10579,54728,3686,0.275,0.044,60694,11948,156905,20193,143833,15869,100662,28223,5189,99,230,457,624,1297,1054,1428
98068,86000US98068,Washington,King; Kittitas,Roslyn; Snoqualmie Pass; Tanner,97625,49145,104741,19537,50683,14450,0.082,0.11,-1,-1,-1,-1,98844,53254,65179,46336,208,6,32,53,51,0,49,17
