zipcode,state_name,county_name,city_name,median_household_income,average_household_income,per_capita_income,percent_incomes_200000+
98146,Washington,King,Burien; Seattle; White Center,"$78,750","$100,923","$38,028",9.70%
98148,Washington,King,Burien; Des Moines; Normandy Park; SeaTac,"$61,455","$83,242","$32,316",4.50%
98154,Washington,King,Seattle,-$1,-$1,-$1,-1.00%
98155,Washington,King,Kenmore; Lake Forest Park; Shoreline,"$94,054","$114,497","$45,723",13.60%
98158,Washington,King,SeaTac,-$1,-$1,-$1,-1.00%
98164,Washington,King,Seattle,"$157,829","$219,627","$163,153",37.20%
98166,Washington,King,Burien; Normandy Park,"$83,615","$111,517","$46,382",12.00%
98168,Washington,King,Boulevard Park; Burien; SeaTac; Tukwila; White Center,"$59,120","$74,964","$27,311",3.50%
98174,Washington,King,Seattle,-$1,-$1,-$1,-1.00%
98177,Washington,King,Seattle; Shoreline,"$123,672","$160,142","$65,401",25.80%
98178,Washington,King,Bryn Mawr-Skyway; Renton; Seattle; Tukwila,"$80,283","$98,171","$36,475",8.00%
98188,Washington,King,Kent; Renton; SeaTac; Tukwila,"$60,586","$89,223","$33,983",4.70%
98195,Washington,King,Seattle,-$1,-$1,-$1,-1.00%
98198,Washington,King,Des Moines; Federal Way; Kent; Normandy Park; SeaTac,"$66,906","$90,677","$35,051",5.70%
98199,Washington,King,Seattle,"$114,551","$164,793","$72,265",27.00%
98201,Washington,Snohomish,Everett; Hat Island,"$57,179","$74,568","$33,597",4.60%
98203,Washington,Snohomish,Eastmont; Everett,"$73,840","$90,892","$35,761",7.20%
98204,Washington,Snohomish,Everett; Lake Stickney; Mukilteo,"$55,978","$66,951","$27,637",2.70%
98205,Washington,Snohomish,Bunk Foss; Cavalero; Everett; Lake Stevens; Machias; Marysville,"$96,233","$105,450","$36,341",6.70%
98207,Washington,Snohomish,Everett,-$1,-$1,"$32,558",-1.00%
98208,Washington,Snohomish,Eastmont; Everett; Martha Lake; Mill Creek; Silver Firs,"$91,574","$104,294","$37,984",7.90%
98220,Washington,Whatcom,Acme,"$87,500","$91,052","$29,535",0.00%
98221,Washington,San Juan; Skagit,Anacortes,"$73,802","$99,114","$43,937",8.70%
98222,Washington,San Juan,,"$96,667","$141,579","$79,521",14.60%
98223,Washington,Snohomish,Arlington; Arlington Heights; Bryant; Canyon Creek; Lake Cassidy; Lake Goodwin; Marysville; North Marysville; Oso; Sisco Heights; Swede Heaven,"$88,295","$100,978","$38,043",7.30%
98224,Washington,King,Baring,"$43,750","$48,908","$28,669",0.00%
98225,Washington,Whatcom,Bellingham; Marietta-Alderwood,"$50,184","$67,486","$29,077",4.30%
98226,Washington,Whatcom,Bellingham; Ferndale; Marietta-Alderwood,"$64,235","$83,820","$34,095",4.80%
98229,Washington,Skagit; Whatcom,Alger; Bellingham; Geneva; Sudden Valley,"$71,918","$93,477","$37,797",7.00%
98230,Washington,Whatcom,Birch Bay; Blaine,"$69,529","$88,222","$37,780",7.20%
98232,Washington,Skagit,Alger; Edison,"$79,394","$100,388","$38,807",5.60%
98233,Washington,Skagit,Alger; Burlington,"$61,330","$80,263","$31,481",5.10%
98235,Washington,Skagit,Clear Lake,-$1,"$42,445","$22,581",0.00%
98236,Washington,Island,Clinton,"$78,650","$96,673","$41,636",7.00%
