zipcode,city_name,average_monthly_household_income
98638,Deep River; Grays River; Naselle; Rosburg,6953.33
99012,Fairfield; Latah; Waverly,6946.58
98148,Burien; Des Moines; Normandy Park; SeaTac,6936.83
98596,Vader; Winlock,6925.42
99003,,6924.08
98826,Leavenworth,6920.67
98650,Trout Lake,6918.83
98261,,6913.17
99037,Spokane Valley,6912.17
99361,Dixie; Waitsburg,6904.17
98588,,6898.58
98846,Pateros,6879.17
98601,Amboy,6869.83
98580,Fort Lewis; McChord AFB; McKenna; Nisqually Indian Community; North Yelm; Roy; South Creek,6845.75
98936,Moxee,6825.42
98366,Bainbridge Island; Bremerton; East Port Orchard; Manchester; Parkwood; Port Orchard; Southworth,6813.83
98032,Des Moines; Kent; Lakeland North; SeaTac; Tukwila,6808.83
98244,Deming; Glacier; Kendall; Maple Falls; Peaceful Valley,6795.92
98030,Auburn; Kent,6794.92
98385,South Prairie,6792.75
99148,Loon Lake; Springdale,6771.67
99208,Country Homes; Fairwood; Mead; Spokane; Town and Country,6762.33
99301,Pasco; West Pasco,6740.67
98801,South Wenatchee; Sunnyslope; Wenatchee,6738.67
98663,Hazel Dell; Vancouver,6707.75
99161,Palouse,6707.17
98288,Skykomish,6702.83
98233,Alger; Burlington,6688.58
98392,Suquamish,6680.17
98445,Clover Creek; Frederickson; Midland; Parkland; Spanaway; Summit; Tacoma,6677.92
98828,,6675.58
98281,Point Roberts,6658.67
98284,Alger; Clear Lake; Hamilton; Lyman; Sedro-Woolley,6649.42
98589,Tenino,6636.67
98579,Grand Mound; Rochester,6627.08
98815,Cashmere,6621.92
98823,Ephrata,6609.58
98243,,6607.92
98465,Tacoma,6593.67
99022,Airway Heights; Fairchild AFB; Medical Lake,6576.92
99128,Farmington,6567.25
98381,Sekiu,6544.83
98645,,6532.42
98662,Barberton; Brush Prairie; Five Corners; Orchards; Vancouver,6525.75
98253,,6493.33
98661,Minnehaha; Vancouver,6487.25
98312,Bremerton; Chico; Erlands Point-Kitsap Lake; Gorst; Navy Yard City; Port Orchard; Rocky Point; Silverdale,6473.75
98937,Cliffdell; Eschbach; Gleed; Naches; Nile,6471.75
98597,La Grande; McKenna; North Yelm; Yelm,6471.58
98376,Quilcene,6463.83
99402,Asotin,6458.33
98922,Cle Elum; Easton; Roslyn; South Cle Elum,6440.83
98862,Twisp; Winthrop,6422.33
98848,George; Quincy,6418.0
98345,Keyport,6417.25
98528,Allyn; Belfair,6407.5
99362,College Place; Garrett; Walla Walla; Walla Walla East,6398.0
98057,Bryn Mawr-Skyway; Renton; Tukwila,6378.33
98611,Castle Rock,6376.42
98933,Harrah,6373.33
98349,Herron Island; Home; Key Center; Longbranch,6366.92
99158,Oakesdale,6362.58
98532,Centralia; Chehalis; Napavine; Pe Ell,6339.92
99217,Mead; Spokane,6338.58
98503,Lacey; Olympia; Tanglewilde,6332.92
98276,Nooksack,6329.83
99343,Basin City; Mesa,6317.5
99029,Reardan,6312.0
98368,Port Hadlock-Irondale; Port Townsend,6311.08
98003,Des Moines; Federal Way; Lakeland South; Milton,6276.75
98168,Boulevard Park; Burien; SeaTac; Tukwila; White Center,6247.0
98247,Deming; Everson; Lynden; Nooksack,6239.58
98816,Chelan,6226.92
99320,Benton City; Richland; West Richland,6225.83
98351,Longbranch,6216.58
98201,Everett; Hat Island,6214.0
99176,,6212.75
98277,Oak Harbor; Whidbey Island Station,6197.08
99181,Valley,6175.92
99006,Deer Park,6165.92
98273,Bay View; Burlington; Clear Lake; Conway; Mount Vernon,6165.92
