zipcode,city,county_name,family_members,annual_income
99208,Spokane,Spokane,6,71580
99208,Spokane,Spokane,7,76800
99208,Spokane,Spokane,8,81750
99212,Spokane Valley,Spokane,1,43350
99212,Spokane Valley,Spokane,2,49550
99212,Spokane Valley,Spokane,3,55750
99212,Spokane Valley,Spokane,4,61900
99212,Spokane Valley,Spokane,5,66900
99212,Spokane Valley,Spokane,6,71580
99212,Spokane Valley,Spokane,7,76800
99212,Spokane Valley,Spokane,8,81750
99216,Spokane Valley,Spokane,1,43350
99216,Spokane Valley,Spokane,2,49550
99216,Spokane Valley,Spokane,3,55750
99216,Spokane Valley,Spokane,4,61900
99216,Spokane Valley,Spokane,5,66900
99216,Spokane Valley,Spokane,6,71580
99216,Spokane Valley,Spokane,7,76800
99216,Spokane Valley,Spokane,8,81750
99217,Spokane,Spokane,1,43350
99217,Spokane,Spokane,2,49550
99217,Spokane,Spokane,3,55750
99217,Spokane,Spokane,4,61900
99217,Spokane,Spokane,5,66900
99217,Spokane,Spokane,6,71580
99217,Spokane,Spokane,7,76800
99217,Spokane,Spokane,8,81750
99218,Spokane,Spokane,1,43350
99218,Spokane,Spokane,2,49550
99218,Spokane,Spokane,3,55750
99218,Spokane,Spokane,4,61900
99218,Spokane,Spokane,5,66900
99218,Spokane,Spokane,6,71580
99218,Spokane,Spokane,7,76800
99218,Spokane,Spokane,8,81750
99223,Spokane,Spokane,1,43350
99223,Spokane,Spokane,2,49550
99223,Spokane,Spokane,3,55750
99223,Spokane,Spokane,4,61900
99223,Spokane,Spokane,5,66900
99223,Spokane,Spokane,6,71580
99223,Spokane,Spokane,7,76800
99223,Spokane,Spokane,8,81750
99224,Spokane,Spokane,1,43350
99224,Spokane,Spokane,2,49550
99224,Spokane,Spokane,3,55750
99224,Spokane,Spokane,4,61900
99224,Spokane,Spokane,5,66900
99224,Spokane,Spokane,6,71580
99224,Spokane,Spokane,7,76800
99224,Spokane,Spokane,8,81750
99016,Spokane Valley,Spokane,1,43350
99016,Spokane Valley,Spokane,2,49550
99016,Spokane Valley,Spokane,3,55750
99016,Spokane Valley,Spokane,4,61900
99016,Spokane Valley,Spokane,5,66900
99016,Spokane Valley,Spokane,6,71580
99016,Spokane Valley,Spokane,7,76800
99016,Spokane Valley,Spokane,8,81750
